i,export_value,import_value,balance_ratio,export_stability_index,import_stability_index,total_stability_index,top_five_export,top_five_import,top_five_trade,export_entropy,import_entropy,total_entropy,export_HHI,import_HHI,total_HHI,export_partner_count,import_partner_count,total_partner_count,average_export_distance,average_import_distance,farthest_import_distance,farthest_export_distance,total_trade_value,export_weight,import_weight,average_trade_distance,farthest_trade_distance
100,91464650.61088793,101244190.71347593,0.9034064074820413,0.05472994212226201,0.06591896047271627,0.12064890259497828,16253143.66307274,5682878.32538295,21936021.98845569,6.097845462868097,6.348691832990318,6.485653002727191,0.009727468108617783,0.013130885546832014,0.0077241226838605705,196,174.0,370.0,2026.222928797385,2466.6404341707344,17256.21181237496,17256.21181237496,192708841.32436386,0.47462612499930074,0.5253738750006993,2257.606780213523,17256.21181237496
104,53141779.499901846,75134918.87018049,0.7072847126077451,0.052967086738012745,0.05026307025712095,0.10323015699513369,22493917.99488373,9797.008784340904,22503715.003668077,4.3411053408398494,6.104051560382904,5.948190221272682,0.062216618487107654,0.016641600937819055,0.017050124821071305,179,189.0,368.0,2954.8029822633544,2461.7860005520165,18359.588772868497,18359.588772868497,128276698.37008233,0.41427461242092567,0.5857253875790743,2666.0304195674153,18359.588772868497
108,727587.050224347,2359765.945465246,0.30833017639844684,0.03451397527195927,0.07918515949822248,0.11369913477018176,566995.3744327929,5028.988841387515,572024.3632741804,2.4084829644679773,5.305136339358938,5.105021441523006,0.21449960940399523,0.03311177412029518,0.021061972469645467,106,140.0,246.0,4017.0283296448706,4568.9274387057985,14424.132667067224,14424.132667067224,3087352.9956895933,0.23566694551616463,0.7643330544838354,4438.863061440317,14424.132667067224
112,84746734.23274897,96302718.39965542,0.8800035517279043,0.08477504800498062,0.08517515285379011,0.16995020085877072,29039146.27241117,19028386.704826914,48067532.97723809,5.14946512511881,5.9199832076057755,5.907727646788543,0.04614794493375327,0.035507986184659224,0.02351950923682584,176,183.0,359.0,3013.5015042469417,3503.760257686273,17027.579754989052,17027.579754989052,181049452.6324044,0.46808611128372407,0.5319138887162759,3274.27694426605,17027.579754989052
116,56355532.953703575,62476359.80330938,0.9020297138169439,0.019568664769560307,0.07930866830474549,0.0988773330743058,12126154.639435276,183993.20439290663,12310147.843828183,4.694041939563195,5.479075531371305,5.710161442243802,0.018476093709600842,0.027701213195438855,0.012352101719112394,161,133.0,294.0,6777.334518459012,1844.6763963198146,19611.39680464817,19611.39680464817,118831892.75701296,0.4742458581295105,0.5257541418704894,4183.969080313218,19611.39680464817
12,107696295.29997143,138916922.21932226,0.7752568483337138,0.046336475049993074,0.03225100235098285,0.07858747740097592,96166575.74027514,5054168.79072485,101220744.53100002,1.8899988273555872,6.445749563324413,5.072568098909013,0.22474601439779768,0.005400003657298288,0.04755689437763432,152,168.0,320.0,4404.098445857997,5945.618091930383,18327.016527192332,18187.924096527953,246613217.5192937,0.4367012294932888,0.5632987705067112,5272.434567202513,18327.016527192332
120,12594574.023383403,16767075.03138702,0.7511491419825503,0.019272955262250265,0.033378821723278204,0.05265177698552847,7894590.493892746,467082.3790225179,8361672.872915262,2.9814959431552013,6.0476797631425105,5.273914031275358,0.12969751628719106,0.008929766629854544,0.027591858281387435,155,194.0,349.0,6287.140527744242,6915.696963964931,18970.479436136116,17127.730350567195,29361649.054770425,0.42894641237247355,0.5710535876275263,6646.079935674437,18970.479436136116
124,1189472143.9465864,1067702820.5274454,1.1140479551781899,0.043842154209978106,0.03407218125688866,0.07791433546686677,335051766.6681856,158368336.23142445,493420102.89961004,5.469100566461929,6.525011870699194,6.187782284391087,0.026298066873573934,0.007281060731648124,0.013740622411788776,213,212.0,425.0,7683.8068947644415,7713.707478597897,15074.67484896765,15074.67484896765,2257174964.474032,0.5269738335166045,0.47302616648339535,7697.950653310795,15074.67484896765
132,336496.8365944191,2550672.7061905605,0.1319247411781727,0.020927511418596948,0.02995671225930447,0.05088422367790142,196687.16970307435,46287.72041030533,242974.8901133797,3.1419429049180927,6.011980294123453,5.955523232432939,0.0871682061397766,0.012432446700031817,0.008770566886959786,95,126.0,221.0,3646.2430432256215,4641.13531501137,17530.499790934242,17530.499790934242,2887169.5427849796,0.11654903932999805,0.883450960670002,4525.181576497902,17530.499790934242
140,495461.9391936908,1109506.4032573039,0.4465606847685664,0.11780810364995238,0.25634911071678906,0.37415721436674143,272589.2652616734,80018.30311099635,352607.5683726698,3.269276430808976,5.63926071095876,5.359927332215942,0.09931664641143424,0.012842788034103613,0.01069864082394978,109,127.0,236.0,6255.365503761116,5581.5426707269335,15162.937987989564,15816.670203489599,1604968.3424509945,0.30870511653647714,0.691294883463523,5789.5552269236905,15816.670203489599
